,symbol,date,open,high,low,close,volume,adjusted
95,TSLA,5/18/2023,174.2200012,177.0599976,172.4499969,176.8899994,109520300,176.8899994
96,TSLA,5/19/2023,177.1699982,181.9499969,176.3099976,180.1399994,136024200,180.1399994
97,TSLA,5/22/2023,180.6999969,189.3200073,180.1100006,188.8699951,132001400,188.8699951
98,TSLA,5/23/2023,186.1999969,192.9600067,185.2599945,185.7700043,156952100,185.7700043
99,TSLA,5/24/2023,182.2299957,184.2200012,178.2200012,182.8999939,137605100,182.8999939
100,TSLA,5/25/2023,186.5399933,186.7799988,180.5800018,184.4700012,96870700,184.4700012
101,TSLA,5/26/2023,184.6199951,198.6000061,184.5299988,193.1699982,162061500,193.1699982
102,TSLA,5/30/2023,200.1000061,204.4799957,197.5299988,201.1600037,128818700,201.1600037
103,TSLA,5/31/2023,199.7799988,203.9499969,195.1199951,203.9299927,150711700,203.9299927
104,TSLA,6/1/2023,202.5899963,209.8000031,199.3699951,207.5200043,148029900,207.5200043
105,TSLA,6/2/2023,210.1499939,217.25,209.75,213.9700012,164129000,213.9700012
106,TSLA,6/5/2023,217.8000031,221.2899933,214.5200043,217.6100006,151143100,217.6100006
107,TSLA,6/6/2023,216.1399994,221.9100037,212.5299988,221.3099976,146911600,221.3099976
108,TSLA,6/7/2023,228,230.8300018,223.1999969,224.5700073,185710800,224.5700073
109,TSLA,6/8/2023,224.2200012,235.2299957,223.0099945,234.8600006,164489700,234.8600006
110,TSLA,6/9/2023,249.0700073,252.4199982,242.0200043,244.3999939,199882300,244.3999939
111,TSLA,6/12/2023,247.9400024,250.9700012,244.5899963,249.8300018,150337900,249.8300018
112,TSLA,6/13/2023,253.5099945,259.6799927,251.3399963,258.7099915,162384300,258.7099915
113,TSLA,6/14/2023,260.1700134,261.5700073,250.5,256.7900085,170575500,256.7900085
114,TSLA,6/15/2023,248.3999939,258.9500122,247.2899933,255.8999939,160171200,255.8999939
115,TSLA,6/16/2023,258.9200134,263.6000061,257.2099915,260.5400085,167563700,260.5400085
